ClubPlant,Cluster,SubCluster,Destination,Operator,TruckType,NoofIndents
1130,N8,N8_1,5115,SHRINIWASA,32 MA,1
1130,N8,N8_1,5115,VIKAS,32 MA,1
1130,N8,N8_1,5151,INDOARYA,32 MA,1
1130,N8,N8_1,5151,LG BROTHERS,32 MA,1
1130,N8,N8_1,5151,RCI,32 MA,1
1130,N8,N8_1,5151,VIKAS,32 MA,2
1130,N8,N8_1,5152,AVG,32 MA,1
1130,N8,N8_1,5152,DBRC,32 MA,1
1130,N8,N8_1,5152,RCI,32 MA,1
1130,N8,N8_1,5152,SHRINIWASA,32 MA,1
1130,N8,N8_1,5152,SWASTIK,32 MA,1
1130,N8,N8_1,5153,KP TRANSPORT,32 MA,1
1130,N8,N8_1,5153,RCI,32 MA,1
1130,N8,N8_1,5153,SWASTIK,32 MA,1
1130,N8,N8_1,5153,VIKAS,32 MA,1
1130,N8,N8_1,5155,AVG,32 MA,1
1130,N8,N8_1,5155,VIKAS,32 MA,1
1130,N8,N8_1,5157,SHREE SHYAM,32 MA,1
1130,N8,N8_1,5201,RCI,32 MA,1
1130,N8,N8_1,5203,AVG,32 MA,2
1130,N8,N8_1,5203,CORE,32 MA,2
1130,N8,N8_1,5203,DBRC,32 MA,1
1130,N8,N8_1,5203,LG BROTHERS,32 MA,1
1130,N8,N8_1,5203,VIKAS,32 MA,1
1130,N8,N8_1,5206,KP TRANSPORT,32 MA,1
1130,N8,N8_1,5206,SHREE SHYAM,32 MA,1
1130,N9,N9,5040,AVG,32 MA,2
1130,N9,N9,5040,BLR,32 MA,1
1130,N9,N9,5040,EAST INDIA,32 MA,2
1130,N9,N9,5040,KP TRANSPORT,32 MA,3
1130,N9,N9,5040,SHREE SHYAM,32 MA,1
1130,N9,N9,5040,SHRINIWASA,32 MA,2
1130,N9,N9,5051,EAST INDIA,32 MA,1
1130,N9,N9,5051,KP TRANSPORT,32 MA,2
1130,N9,N9,5051,SHREE SHYAM,32 MA,1
1130,N9,N9,5051,SHRINIWASA,32 MA,3
1130,N9,N9,5101,AVG,32 MA,2
1130,N9,N9,5101,CORE,32 MA,1
1130,N9,N9,5101,EAST INDIA,32 MA,3
1130,N9,N9,5101,EXPRESS,32 MA,2
1130,N9,N9,5101,MAHAVEERA,32 MA,1
1130,N9,N9,5101,SHRINIWASA,32 MA,5
1130,N9,N9,5102,AVG,32 MA,1
1130,N9,N9,5102,EAST INDIA,32 MA,2
1130,N9,N9,5102,EXPRESS,32 MA,2
1130,N9,N9,5102,SHREE SHYAM,32 MA,1
1130,N9,N9,5102,SHRINIWASA,32 MA,5
1130,N9,N9,5103,CORE,32 MA,1
1130,N9,N9,5103,EAST INDIA,32 MA,1
1130,N9,N9,5103,MAHAVEERA,32 MA,1
1130,N9,N9,5103,SHREE SHYAM,32 MA,3
1130,N9,N9,5103,SHRINIWASA,32 MA,4
1130,N9,N9,5104,BLR,32 MA,3
1130,N9,N9,5104,CORE,32 MA,3
1130,N9,N9,5104,EAST INDIA,24 FT,3
1130,N9,N9,5104,EAST INDIA,32 MA,2
1130,N9,N9,5104,MAHAVEERA,24 FT,2
1130,N9,N9,5104,MAHAVEERA,32 MA,1
